step,train_lm_loss,grad_norm,ce_tokens,input_tokens,vision_tokens,mtp_target_tokens,step_seconds
128,1.8778225660324097,1.5774917602539062,2017,9154,1760,691,0.3697285372763872
129,1.6314121782779694,1.6425968408584595,2029,9220,1780,695,0.33743106573820114
130,1.9510574340820312,1.4830906391143799,2048,9295,1788,702,0.410948246717453
131,2.010882019996643,1.7608509063720703,2063,9359,1796,707,0.351162601262331
132,1.7763144373893738,1.43405282497406,2081,9437,1808,713,0.4238801635801792
133,1.8417920271555583,1.4344136714935303,2099,9511,1816,719,0.4109882768243551
134,1.320597231388092,1.6920026540756226,2111,9581,1840,723,0.33548638597130775
135,1.6271878957748414,1.5793856382369995,2126,9648,1852,728,0.3641613069921732
136,1.3355467915534973,1.5054504871368408,2138,9713,1872,732,0.3271693605929613
137,1.6467326164245606,1.4749208688735962,2153,9780,1884,737,0.3636213596910238
138,1.6361454486846925,1.5979931354522705,2168,9847,1896,742,0.3654272332787514
139,1.4838956356048585,1.3190163373947144,2183,9918,1912,747,0.375228688120842
140,1.523654580116272,1.4759656190872192,2196,9985,1932,752,0.33571741357445717
141,1.5077072620391845,1.4274286031723022,2211,10057,1948,757,0.3798787072300911
142,1.8741463348269463,1.6018646955490112,2227,10121,1956,763,0.3538940716534853
143,1.3106253147125244,1.4513942003250122,2242,10197,1976,768,0.3888784572482109
144,1.5281582355499268,1.3744968175888062,2257,10264,1988,773,0.3639294859021902
145,1.5586520433425903,1.435557246208191,2273,10332,2000,779,0.3650382570922375
146,1.3382755994796753,1.421014428138733,2288,10403,2016,784,0.3802903164178133
147,1.6287118434906005,1.4759268760681152,2303,10471,2028,789,0.36517012119293213
148,1.4047798037528991,1.300854206085205,2318,10543,2044,794,0.38109092600643635
149,1.3175389766693115,1.5601248741149902,2333,10619,2064,799,0.3904238883405924
150,1.0932034105062485,1.4229758977890015,2345,10684,2084,803,0.32773350551724434
151,1.6258584558963776,1.3645737171173096,2363,10758,2092,809,0.41596577130258083
152,1.7004293673916866,1.3045451641082764,2382,10833,2100,816,0.41784707084298134
153,1.4815645456314086,1.3391512632369995,2397,10901,2112,821,0.3671627603471279
154,1.6929012735684712,1.3647370338439941,2415,10971,2116,827,0.41891060024499893
155,1.268314190208912,1.310413122177124,2431,11043,2132,833,0.3769074883311987
156,1.3085394263267518,1.4096561670303345,2446,11115,2148,838,0.3781861159950495
157,1.6637585957845051,1.5441612005233765,2464,11185,2152,844,0.4001951068639755
158,1.2978460311889648,1.3969213962554932,2479,11257,2168,849,0.37864794954657555
159,1.3810941696166992,1.5062265396118164,2494,11324,2180,854,0.37747566401958466
160,1.3036914467811584,1.6508350372314453,2510,11396,2196,860,0.4003057572990656
161,1.201978862285614,1.6822524070739746,2525,11468,2212,865,0.3863745126873255
162,1.2517801165580749,1.5376944541931152,2540,11540,2228,870,0.3946050349622965
163,1.4614501496156056,3.4342074394226074,2558,11619,2240,876,0.46534509398043156
164,1.5977514354806197,1.7592127323150635,2577,11694,2248,883,0.4414813332259655
165,0.9233469069004059,1.4412221908569336,2589,11769,2276,887,0.385592820122838
166,1.439411699771881,1.5010219812393188,2607,11843,2284,893,0.43490459211170673
167,1.096044111251831,1.7366129159927368,2622,11914,2300,898,0.3778811190277338
168,1.4526323958447105,1.6304919719696045,2641,11989,2308,905,0.41327662765979767
169,1.2131349086761474,1.709262490272522,2656,12056,2320,910,0.36119379475712776
170,0.7763108611106873,1.3694864511489868,2668,12126,2344,914,0.3562040850520134
171,1.1769569888710976,2.17039155960083,2684,12198,2360,920,0.38325953111052513
172,1.1461546897888184,1.372475504875183,2699,12270,2376,925,0.37271672300994396
173,1.245749866962433,1.5890512466430664,2714,12337,2388,930,0.36309964396059513
174,1.1165274500846862,1.2533704042434692,2729,12414,2408,935,0.40409216471016407
175,1.4467941804936058,2.028806686401367,2748,12489,2416,942,0.45297915302217007
176,1.6269539594650269,1.539023756980896,2766,12555,2416,948,0.38989752158522606
177,1.1158426642417907,1.582155704498291,2781,12627,2432,953,0.37652043998241425
178,1.0300721406936646,1.2896888256072998,2796,12694,2444,958,0.3636360764503479
179,0.9849976778030396,1.3757628202438354,2811,12775,2468,963,0.4108597617596388
180,1.1658188203970592,1.5214195251464844,2829,12853,2480,969,0.45760146528482437
181,1.1023566126823425,1.250651478767395,2844,12920,2492,974,0.36944910511374474
182,0.5887469410896301,1.4386142492294312,2859,13000,2516,979,0.3974036332219839
183,1.0843088030815125,1.1373850107192993,2874,13067,2528,984,0.36584954150021076
184,1.2022828459739685,1.5079900026321411,2889,13135,2540,989,0.38414409942924976
185,0.9456702589988708,1.1466472148895264,2904,13211,2560,994,0.3894820958375931
186,0.7070767730474472,1.2432228326797485,2916,13276,2580,998,0.32437766529619694
187,1.32241690158844,1.4425745010375977,2935,13351,2588,1005,0.41644423454999924
188,0.8362075448036194,1.176410436630249,2950,13422,2604,1010,0.36846785619854927
189,1.3762730219784904,1.7031736373901367,2967,13487,2612,1017,0.3444234263151884
190,1.1944492220878602,1.6664514541625977,2982,13555,2624,1022,0.354914303869009
191,0.8302751183509827,1.4548596143722534,2997,13631,2644,1027,0.3827920574694872
192,1.1510256052017211,1.3978898525238037,3012,13699,2656,1032,0.3589495439082384
193,0.953069269657135,1.218392252922058,3027,13771,2672,1037,0.3753554206341505
194,1.522169788678487,1.3702467679977417,3045,13837,2672,1043,0.40848136879503727
195,0.8494173467159272,1.1161456108093262,3060,13908,2688,1048,0.40241488814353943
196,1.318442111214002,1.509873628616333,3078,13978,2692,1054,0.39542795345187187
197,0.9516208887100219,1.052473545074463,3093,14045,2704,1059,0.3588996138423681
198,0.5158198848366737,1.2248541116714478,3105,14110,2724,1063,0.32299939915537834
199,0.8979791760444641,1.277456521987915,3120,14182,2740,1068,0.37617867439985275
200,1.0895290553569794,1.1756072044372559,3135,14250,2752,1073,0.3661170285195112
